registry	index	id	spelling	surface	program_path	status	reason	gap_id	fix	command	evidence
Syntax::LEXICAL_LEDGER	15	syntax-registry-015-none-d1412273	.{ … }	language_server	scripts/agent/syntax-roundtrip-fixtures/015.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[15]	syntax-roundtrip:syntax-registry-015-none-d1412273:language_server	Add a real fixture for syntax-registry-015-none-d1412273 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	15	syntax-registry-015-none-d1412273	.{ … }	canvas	scripts/agent/syntax-roundtrip-fixtures/015.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[15]	syntax-roundtrip:syntax-registry-015-none-d1412273:canvas	Add a real fixture for syntax-registry-015-none-d1412273 and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	16	syntax-registry-016-none-e50c2abf	`	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/016.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[16]	syntax-roundtrip:syntax-registry-016-none-e50c2abf:jet_fmt	Add a real fixture for syntax-registry-016-none-e50c2abf and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	16	syntax-registry-016-none-e50c2abf	`	language_server	scripts/agent/syntax-roundtrip-fixtures/016.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[16]	syntax-roundtrip:syntax-registry-016-none-e50c2abf:language_server	Add a real fixture for syntax-registry-016-none-e50c2abf and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	16	syntax-registry-016-none-e50c2abf	`	canvas	scripts/agent/syntax-roundtrip-fixtures/016.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[16]	syntax-roundtrip:syntax-registry-016-none-e50c2abf:canvas	Add a real fixture for syntax-registry-016-none-e50c2abf and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	17	syntax-registry-017-none-290c95cb	,	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/017.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[17]	syntax-roundtrip:syntax-registry-017-none-290c95cb:jet_fmt	Add a real fixture for syntax-registry-017-none-290c95cb and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	17	syntax-registry-017-none-290c95cb	,	language_server	scripts/agent/syntax-roundtrip-fixtures/017.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[17]	syntax-roundtrip:syntax-registry-017-none-290c95cb:language_server	Add a real fixture for syntax-registry-017-none-290c95cb and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	17	syntax-registry-017-none-290c95cb	,	canvas	scripts/agent/syntax-roundtrip-fixtures/017.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[17]	syntax-roundtrip:syntax-registry-017-none-290c95cb:canvas	Add a real fixture for syntax-registry-017-none-290c95cb and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	18	syntax-registry-018-r-raw-c19f036b	r"…", raw"…", $"…"	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/018.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[18]	syntax-roundtrip:syntax-registry-018-r-raw-c19f036b:jet_fmt	Add a real fixture for syntax-registry-018-r-raw-c19f036b and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	18	syntax-registry-018-r-raw-c19f036b	r"…", raw"…", $"…"	language_server	scripts/agent/syntax-roundtrip-fixtures/018.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[18]	syntax-roundtrip:syntax-registry-018-r-raw-c19f036b:language_server	Add a real fixture for syntax-registry-018-r-raw-c19f036b and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	18	syntax-registry-018-r-raw-c19f036b	r"…", raw"…", $"…"	canvas	scripts/agent/syntax-roundtrip-fixtures/018.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[18]	syntax-roundtrip:syntax-registry-018-r-raw-c19f036b:canvas	Add a real fixture for syntax-registry-018-r-raw-c19f036b and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	19	syntax-registry-019-none-3e0cb6da	;	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/019.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[19]	syntax-roundtrip:syntax-registry-019-none-3e0cb6da:jet_fmt	Add a real fixture for syntax-registry-019-none-3e0cb6da and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	19	syntax-registry-019-none-3e0cb6da	;	language_server	scripts/agent/syntax-roundtrip-fixtures/019.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[19]	syntax-roundtrip:syntax-registry-019-none-3e0cb6da:language_server	Add a real fixture for syntax-registry-019-none-3e0cb6da and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	19	syntax-registry-019-none-3e0cb6da	;	canvas	scripts/agent/syntax-roundtrip-fixtures/019.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[19]	syntax-roundtrip:syntax-registry-019-none-3e0cb6da:canvas	Add a real fixture for syntax-registry-019-none-3e0cb6da and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	20	syntax-registry-020-name-9dc898cd	_name	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/020.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[20]	syntax-roundtrip:syntax-registry-020-name-9dc898cd:jet_fmt	Add a real fixture for syntax-registry-020-name-9dc898cd and exercise jet_fmt	null	[]
